ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,39,55
1,6,5,2,39,83
9,4,3,0,50,86
3,4,0,1,100,115
8,2,0,2,91,120
2,1,0,4,104,155
4,1,0,4,97,148
7,3,2,4,122,143
5,1,4,5,149,164
6,4,4,5,145,160
10,1,4,5,11,26
12,1,4,5,6,21
14,6,4,5,3,18
11,3,5,0,27,69
13,4,0,5,66,108
16,5,3,1,18,40
15,3,1,5,42,77
17,2,4,0,11,53
22,3,2,0,22,43
24,6,0,1,42,60
23,2,0,2,45,79
21,4,1,2,69,83
19,6,0,3,52,102
25,1,0,4,39,104
18,3,2,4,91,120
20,4,0,5,49,128
26,3,1,3,32,54
29,4,1,5,24,69
30,6,3,5,45,67
28,6,0,1,117,133
27,6,0,2,117,148
31,2,4,5,18,33
32,3,4,5,14,29
36,1,5,1,25,77
35,4,5,0,26,93
37,5,5,0,24,91
41,2,5,0,15,82
34,6,3,0,51,95
40,3,0,5,91,141
33,6,2,5,124,153
39,4,2,0,171,200
38,5,1,0,187,202
45,3,0,5,30,80
44,5,4,5,66,81
42,4,5,2,87,115
47,4,0,1,18,33
46,2,1,4,34,62
50,1,0,5,14,73
48,2,4,5,61,75
49,3,1,0,110,124
51,6,0,1,4,19
56,2,1,4,8,44
53,5,3,4,39,54
54,2,4,5,52,66
52,5,3,0,92,128
55,2,2,0,99,120
57,5,0,4,117,153
58,6,0,5,32,83
63,5,0,5,22,73
66,2,2,5,35,63
60,4,5,1,80,130
59,1,5,0,84,150
62,2,5,0,78,144
61,4,2,0,114,144
65,5,1,0,121,136
70,3,0,1,0,15
68,5,0,3,4,48
69,2,2,4,33,62
67,3,0,5,4,77
74,2,2,5,20,63
75,5,5,4,62,77
76,4,3,2,88,103
72,2,5,1,70,129
71,2,3,1,100,129
80,3,0,1,4,21
78,1,0,3,8,46
77,4,0,5,11,70
79,5,0,5,8,67
81,5,3,1,82,104
82,4,0,3,11,39
83,1,5,1,58,108
85,3,3,1,81,103
84,4,4,0,68,120
86,2,3,0,79,117
87,5,1,0,99,114
88,3,0,1,4,20
91,4,0,1,3,19
90,2,0,3,3,49
89,6,2,4,35,64
92,2,3,0,76,104
93,4,2,5,18,46
95,3,5,4,39,53
96,5,0,1,88,106
94,6,0,3,92,132
97,6,0,3,88,128
99,1,0,1,155,171
100,5,0,1,151,167
98,6,0,4,158,203
103,2,5,0,25,67
101,2,0,1,71,85
102,1,0,2,70,98
104,4,0,1,18,36
109,4,0,1,10,28
106,3,0,2,13,46
105,2,0,3,17,64
107,5,0,4,12,75
111,6,3,5,53,84
110,3,4,5,71,85
108,6,5,1,94,130
116,4,0,1,1,18
113,3,0,3,8,46
115,4,0,4,5,59
112,4,0,5,11,79
114,5,3,5,47,76
117,6,4,5,11,26
121,4,2,0,48,76
122,3,1,0,60,74
126,1,1,0,53,67
119,2,0,1,83,100
124,1,0,2,73,105
123,3,1,2,94,108
118,5,0,3,83,129
120,6,0,4,79,141
127,2,0,5,69,146
125,4,3,5,119,148
131,4,0,1,32,50
134,4,0,1,29,47
132,3,0,3,31,71
128,1,0,5,39,101
135,6,0,5,29,91
136,4,3,5,66,87
129,2,5,1,102,137
130,2,5,0,100,149
139,3,3,4,10,24
137,3,0,5,139,196
138,5,0,5,135,192
143,3,5,4,29,46
141,6,5,0,33,100
142,5,5,0,33,100
146,1,5,0,21,88
140,1,2,0,75,104
147,6,1,0,69,84
145,6,1,4,110,146
144,2,2,5,129,165
149,3,5,4,4,18
152,3,0,1,48,64
155,5,0,2,39,71
153,2,1,2,61,76
151,4,0,4,49,110
150,6,1,5,67,125
148,4,3,5,100,128
154,5,1,4,152,181
159,2,0,1,41,56
157,4,0,2,42,74
156,3,1,4,61,105
160,2,3,4,85,99
158,6,1,5,58,117
164,2,0,1,36,54
167,3,0,1,30,48
165,3,0,2,35,68
166,6,0,3,31,78
161,2,0,4,39,101
163,3,0,5,36,112
168,1,5,4,106,120
162,4,1,0,156,170
170,6,0,2,159,188
169,2,0,3,159,203
171,3,1,5,9,59
172,5,4,0,73,109
173,5,0,2,4,33
174,2,0,3,0,44
176,4,1,5,12,62
180,6,3,2,83,98
177,5,5,0,62,130
178,3,5,0,62,130
179,6,5,0,62,130
175,2,1,0,119,133
181,2,0,4,128,163
182,1,5,0,17,67
184,4,5,0,12,62
186,2,1,0,45,59
185,3,0,1,62,78
183,4,0,2,65,97
189,3,0,3,61,107
188,6,1,3,78,107
187,2,4,5,123,137
194,2,2,1,16,31
190,3,2,0,25,56
193,6,1,0,33,48
191,5,0,1,57,74
197,5,0,1,43,60
199,1,0,1,38,55
196,4,0,2,44,79
198,6,1,4,61,97
195,3,4,5,104,118
192,1,4,2,139,160
200,2,3,5,11,37
205,2,3,5,3,24
203,1,0,1,71,87
201,5,0,2,76,107
204,4,0,2,68,99
206,1,0,4,66,120
202,3,1,5,90,141
207,1,5,4,4,18
208,2,5,0,0,49
209,4,5,0,39,89
210,2,5,0,39,89
211,4,2,0,64,85
212,2,3,5,115,136
214,3,0,1,38,54
216,6,1,2,53,68
222,2,1,3,45,75
215,1,0,4,36,97
213,4,0,5,39,114
217,1,0,5,35,110
221,3,5,0,106,163
220,3,4,0,123,166
218,5,1,0,153,168
219,3,1,0,153,168
226,3,0,1,1,17
223,1,0,3,4,46
225,1,0,3,3,40
227,5,0,4,0,51
224,1,4,5,58,72
228,4,5,0,65,107
231,3,0,2,2,24
229,4,0,5,4,54
230,3,5,0,55,105
232,3,5,0,51,101
234,4,1,0,82,96
233,2,0,1,102,116
235,1,0,2,11,32
236,3,2,0,33,54
237,5,2,0,18,47
243,3,2,0,4,33
240,4,1,0,28,42
244,4,0,3,32,68
241,3,0,5,44,102
242,1,2,5,62,98
238,1,4,2,119,140
246,2,5,2,23,68
253,5,5,1,9,70
251,1,4,1,32,76
250,1,3,1,49,79
245,5,5,0,25,101
249,2,5,0,18,94
248,5,2,0,68,98
252,4,0,1,91,105
247,5,2,4,130,152
254,3,4,5,137,151
257,4,1,0,28,42
256,2,0,1,44,59
258,3,0,2,41,72
255,5,1,5,63,106
259,2,1,5,32,74
260,4,4,5,60,74
262,2,4,2,85,106
261,3,0,2,129,151
263,5,0,5,126,176
265,4,0,1,39,54
264,4,0,5,39,89
269,2,0,1,33,51
270,1,0,4,30,76
271,5,0,4,26,72
272,2,0,4,25,71
273,3,0,4,21,67
266,2,0,5,39,101
267,2,0,5,39,101
268,1,2,1,132,146
275,6,2,0,11,33
276,1,0,1,33,47
277,3,4,1,73,101
278,3,3,0,18,47
279,5,3,0,14,43
280,4,0,5,45,87
283,2,5,0,81,130
282,3,4,0,97,132
284,1,4,0,95,130
285,1,4,5,32,46
293,3,5,0,28,85
290,5,2,0,65,94
287,2,1,0,86,100
288,2,0,2,99,129
289,6,2,4,128,157
291,3,3,4,141,155
286,3,1,5,117,179
292,6,1,5,105,167
296,5,0,1,37,55
297,3,0,1,36,54
294,6,0,4,39,86
298,4,0,4,36,83
299,2,5,1,98,140
295,4,4,0,114,156
300,5,0,1,152,167
302,3,2,1,15,30
305,5,2,1,11,26
301,5,0,1,47,65
303,2,0,1,45,63
307,6,0,2,39,73
308,4,0,4,37,93
306,3,0,5,39,109
304,4,1,5,62,112
309,2,3,4,18,32
311,6,4,1,28,57
310,3,0,5,76,118
